date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:41	18596/18596	---M-Z	200	added ('OK')	application/octet-stream	etag:%2267b4b0f9-48a4%22	http://cdn2.editmysite.com/fonts/Arimo/bold.ttf	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/bold.ttf	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
14:08:41	12024/12024	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267b75e4d-2ef8%22	http://cdn2.editmysite.com/fonts/Arimo/italic.eot	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/italic.eot	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
14:08:41	10936/10936	---M--	200	added ('OK')	font/woff2	etag:%2267ae44ae-2ab8%22	http://cdn2.editmysite.com/fonts/Arimo/italic.woff2	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/italic.woff2	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
14:08:42	14160/14160	---M--	200	added ('OK')	font/woff	etag:%2267ae44ae-3750%22	http://cdn2.editmysite.com/fonts/Arimo/italic.woff	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/italic.woff	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
14:08:43	12024/12024	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267b75e4d-2ef8%22	http://cdn2.editmysite.com/fonts/Arimo/italic.eot?	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/italicd41d.eot	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
14:08:43	19936/19936	---M-Z	200	added ('OK')	application/octet-stream	etag:%2267b75e4d-4de0%22	http://cdn2.editmysite.com/fonts/Arimo/italic.ttf	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/italic.ttf	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
14:08:43	12018/12018	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267b75e4d-2ef2%22	http://cdn2.editmysite.com/fonts/Arimo/bolditalic.eot	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/bolditalic.eot	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
14:08:44	10936/10936	---M--	200	added ('OK')	font/woff2	etag:%2267ae44ae-2ab8%22	http://cdn2.editmysite.com/fonts/Arimo/bolditalic.woff2	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/bolditalic.woff2	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
14:08:45	12018/12018	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2267ae44ae-2ef2%22	http://cdn2.editmysite.com/fonts/Arimo/bolditalic.eot?	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/bolditalicd41d.eot	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
14:08:46	14160/14160	---M--	200	added ('OK')	font/woff	etag:%2267b75e4d-3750%22	http://cdn2.editmysite.com/fonts/Arimo/bolditalic.woff	C:/My%20Web%20Sites/myprofile/cdn2.editmysite.com/fonts/Arimo/bolditalic.woff	(from http://cdn2.editmysite.com/fonts/Arimo/font.css?2)
